,รหัสหลัก,รหัสรอง,คำอธิบาย,จำนวน,ราคาเดิม,ราคาทุน,ราคา
1,A750,A750,กล่องใส่ของ 10 ลิตร,4,39,20,19
2,A787,"A787เขียว, A787ชมพู, A787เหลือง",หมวกแก๊ป,9,90,60,45
3,A755,A755,เสื้อยืด Bright Idea,4,85,50,45
4,A813,A813,เซ็ตเทปลายสัตว์,3,45,20,19
5,A840,"A840ชมพู, A840เหลือง, A840ฟ้า, A840เขียว",ตะกร้าเก็บของ วางซ้อนกันได้,165,35,20,26
6,A90,A90,สติกเกอร์ Huamo,9,23,20,19
7,A742,A742,ชุดนอนวัว,9,145,110,90
8,A744,"A744กรม, A744ขาว",กระเป๋าไอแพดสนุปปี้ (744),114,115,90,96
9,A806,"A806ขาว, A806ดำ",กระเป๋าไอแพดสนุปปี้หนัง (806),154,165,110,136
10,A775,A775,ไฟนีออนรูปหัวใจ,9,120,60,65
11,A832,"A832cow, A832แดง, A832ขาว",อ้ลบั้มภาพ,70,60,25,46
12,A826,A826,สมุดจด,70,42,20,36
13,A800,"A800หมี, A800ต่าย",กระเป๋าดินสอ,9,65,60,45
14,A643,A643,เก๊ะเทป,9,65,30,46
15,A640,"A640ชมพู, A640ขาว",ชั้นวางสองชั้น,60,39,20,26
16,A622,A622,สร้อยคอ,5,5,10,5
17,A833,"A833ฟ้า, A833ดำ, A833ชมพู",กล่องเหล็ก 3 ชั้น,88,65,90,36
18,A740,A740,ถังขยะ,5,45,30,26
19,A824,"A824ฟ้า, A824ครีม, A824ชมพู, A824ม่วง",กล่องใส่หนังสือ,157,65,30,36
20,A816,A816,ไฟรูปเทียน,73,65,30,46
21,A821,A821,สติกเกอร์หมีเค้ก,63,13,10,6
22,Aชุดนอน,Aชุดนอน,ชุดนอนสนุปขาวดำ,79,160,120,126
23,A839,A839,ลิ้นชักสองชั้น,2,135,90,65
24,A837,A837,ที่วางโทรศัพท์,79,35,15,19
25,A601,A601,กระจกถั่ว,1,65,40,35
26,A561,A561,กระจกฐานไม้ พร้อมปากกา ลบได้,51,95,65,66
27,A704,A704,ผ้าเช็ดผม,1,95,60,45
28,A777,A777,โคมไฟกระดาษมูจิ,52,145,120,146
29,A844,"A844ฟ้า, A844สายรุ้ง, A844เชอร์รี่",โน้ต 90s,41,19,5,11
30,Aบวก,Aบวก,สร้อยรูปบวก,38,,,6
31,A823,A823,ชั้นวางไม้ ใหญ่มวก,52,165,120,156
32,A836,"A836ฟ้า, A836ชมพู",กล่องกระจกหัวใจ,52,90,30,36
33,A820,A820,ชั้นสามช่อง,45,50,40,46
34,A841,"A841น้ำตาล, A841เขียว",ที่เสียบมือถือ มีรูชาร์จ,44,65,30,36
35,A705,A705,โต๊ะนรก วางจอคอม,39,145,120,136
36,A589,"A589ชีส, A589เลมอน, A589ส้ม",เทียนหอมรูปผลไม้,40,49,25,36
37,A805,"A805ดำ, A805ฟ้า, A805ชมพู, A805เหลือง",สติกเกอร์ยกกล่อง,35,45,20,26
38,Aยิ้ม,Aยิ้ม,สร้อยรูปยิ้ม,35,,,16
39,A739,A739,ที่ใส่เครื่องสำอางรูปรถโรงเรียน,33,165,100,156
40,A815,"A815บิสกิต, A815ชอค",โน้ตรูปขนม กลิ่นขนม,33,55,20,36
41,A808,"A808แดง, A808ชมพู",เทียนสตรอเบอร์รี,29,39,25,26
42,A831,A831,ชั้นวางหนังสือ 4 ช่อง,29,145,90,146
43,A843,A843,ชั้นวางจัดระเบียบโต๊ะ ,29,85,65,46
44,A678,A678,คอนโดปากกา,28,19,15,19
45,A694,"A694ฟ้า, A694ชมพู",เสื้อบาติก,29,75,60,69
46,A170,A170,ถุงหูรูด,28,65,30,46
47,A736,A736,กระเป๋าไอแพดสนุปปี้ (736),27,145,90,136
48,A743,A743,ไฟพระจันทร์,27,49,25,46
49,A708,A708,กระปุกใส่ของ,25,29,15,19
50,A829,"A829เหลือง, A829ครีม",กางเกงขาสั้น,24,65,45,49
51,A834,"A834ฟ้า, A834ชมพู, A834ขาว, A834เหลือง",ไฟสีพาสเทล,24,120,90,126
52,A688,A688,ชั้นวางพับได้ สองชิ้น,24,115,50,90
53,A515,A515,ชุดนอนเอลโม่,21,,,136
54,Aจกหยึย,Aจกหยึย,กระจกหยึยๆ,19,,,66
55,A759,A759,แผ่นแขวนของติดผนัง สองอัน,18,65,100,100
56,A819,A819,กล่องหมี ใส่เครื่องสำอาง หรือทิ้งขยะ,17,60,35,46
57,A727,A727,แก้วใส,16,125,60,100
58,A803,A803,ที่จัดระเบียบสายไฟ,16,35,20,22
59,A645,A645,สมุดโน้ตปกใส,14,65,40,56
60,A738,A738,น้อนหมีกระเป๋า,14,100,60,66
61,A796,A796,ที่ใส่โทรศัพท์กันน้ำ ติดผนัง,12,100,90,69
62,A827,A827,ผ้าห่มลายวัว,12,90,60,90
63,A835,"A835ฟ้า, A835ขาว, A835เหลือง",ไฟรูปหอย,12,60,25,36
64,A71,A71,พาสปอร์ตแอสการ์ด,12,65,60,20
65,A621,A621,เก๊ะสองชั้นในตำนาน,12,135,100,126
66,A818,A818,เสื้อยืดปักตัวอักษร,11,85,50,85
