รหัสหลัก,รหัสรอง,คำอธิบาย,ราคา
B48,"B48ดำ, B48ขาว",ตะกร้าเก็บของเล็ก,34
B43,B43,ซองเอกสาร,65
B66,B66,กระเป๋าถือ,90
B25,B25,โคมไฟพระจันทร์,50
B38,"B38กากี, B38กรม, B38ดำ",เสื้อแคนดิเกน,139
B55,"B55ขาว, B55เทา",ผ้าพันผม มีหู,85
B52,B52,กระเป๋าตัง,129
B28,"B28เทา, B28ดำ, B28ครีม",เสื้อแคนดิเกนพร้อมกระดุม,290
B64,B64,กระเป๋าผ้าจุดใหญ่,65
B17,"B17ชมพู, B17ครีม",กระเป๋าดีเทลหัวใจ,340
B01,B01,กระเป๋าผ้า,115
B70,"B70กบ, B70เจี๊ยบ",กระเป๋าน้ำร้อน,90
B88,"B88เบจ, B88เหลือง, B88ฟ้า, B88ดำ",กระเป๋าโซ่,290
B91,B91,กระเป๋าผ้า,115
B92,B92,กระเป๋าผ้า,115
B63,B63,ที่หนีบโน้ต,65
B59,"B59น้ำตาล, B59ขาว",กระเป๋าสะพายเล็ก,165
B77,"B77ขาว, B77ดำ",ตะกร้าผ้า,90
B78,B78,กล่องใส่ของ,90
B09,B09,ตะกร้าผ้า,65
B40,"B40เหลือง, B40ขาว, B40ดำ",กระเป๋าสะพายข้าง,165
B45,B45,กระเป๋าผ้า,165
B23,"B23เหลือง, B23ขาว",ที่ใส่สก็อตเทปเลโก้,60
B31,B31,ที่จับถ้วยกันร้อนรูปเป็ด,60
B33,B33,ชั้นวางของ 3 ช่อง,135
B50,B50,ถุงผ้า,125
B32,B32,ถุงผ้า,115
B27,B27,ถุงผ้า,165
B42,B42,ถุงผ้า,265
B19,"B19ดำ, B19ขาว, B19กรม",ถุงผ้าหน้ายิ้ม,55
B16,B16,ผ้าเช็ดพื้น,100
B85,B85,ผ้าเช็ดพื้น,100
B80,B80,กระเป๋าใส,225
B20,"B20ขาว, B20ดำ",กระเป๋าสะพายข้าง,225
B96,"B96ขาว, B96ดำ",กระเป๋าสะพายข้าง,265
B47,B47,สมุด,19
B11,"B11ดำ, B11เหลือง",ผ้าห่มหนานู่ม,340
B61,"B61เขียว, B61เหลือง",ผ้าเช็ดมือ,45
B41,B41,ปากกาเชอร์รี,13
B99,B99,ยางมัดผม,35
B65,B65,ถุงผ้า,145
B44,B44,ถาดขาว,139
